Bedroom_AbvGr,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,Kitchen_Qual,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Sale_Price,Screen_Porch,Second_Flr_SF,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,id,Has_Pool,Total_Bath,Has_Alley,Has_Basement,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,House_Style_One_and_Half_Fin,House_Style_One_and_Half_Unf,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,House_Style_Two_and_Half_Fin,House_Style_Two_and_Half_Unf,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,Neighborhood_Blueste,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Green_Hills,Neighborhood_Greens,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Landmark,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northpark_Villa,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Neighborhood_Veenker,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,Sale_Condition_AdjLand,Sale_Condition_Alloca,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Partial,Street_Pave
3,4,0,2,1,3,1,3,236,5,0,2,2,0,0,1045,2,1,3,1045,2,7400,74,0,0,0,6,7,2,120000,0,0,0,6,1045,3,0,2633,0,2.0,0.0,1.0,0.0,0.0,44,2330,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,3,0,6,1,3,1,4,76,5,0,2,3,3,1,1061,2,2,3,1923,3,10186,107,0,0,39,10,7,2,190000,0,862,0,8,750,3,240,91,0,3.5,0.0,1.0,0.0,0.0,18,3031,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,3,0,6,1,3,4,5,225,5,0,2,3,4,1,1792,3,3,3,1792,4,11846,72,0,562,49,10,9,2,374000,0,0,0,6,1792,3,206,2400,0,3.0,0.0,1.0,0.0,1.0,3,4067,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,3,0,6,1,3,1,4,426,5,0,2,3,3,1,1426,3,2,3,1914,3,13215,0,0,112,127,10,8,2,279000,0,488,0,9,1420,3,168,2403,0,3.5,0.0,1.0,0.0,0.0,2,4058,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,1,0,5,1,3,3,3,135,5,0,2,2,3,1,926,1,1,3,926,2,9750,75,0,0,0,6,6,2,156450,0,0,0,5,902,3,319,951,0,2.0,0.0,1.0,1.0,0.0,32,2283,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,7,0,1,1,3,1,3,484,5,0,2,2,0,0,1242,1,1,3,1242,2,17808,84,0,0,0,10,4,0,109900,0,0,0,4,484,3,0,2077,0,1.0,0.0,1.0,0.0,1.0,61,2217,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,2,0,4,1,3,2,4,762,5,0,2,2,0,0,974,0,0,0,974,2,10712,63,0,0,28,10,10,2,93500,0,0,0,5,974,3,0,2304,0,1.0,0.0,1.0,1.0,1.0,16,2740,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,7,0,1,1,3,1,3,676,5,0,2,2,0,0,676,1,1,3,1131,2,5720,52,0,0,0,6,10,2,66500,0,455,0,5,676,3,26,696,0,1.5,0.0,1.0,0.0,1.0,68,2516,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,3,0,6,1,3,1,4,899,5,0,2,3,0,0,1199,2,2,3,1199,3,7892,55,0,0,63,10,6,2,153900,0,0,0,5,1199,3,0,1149,0,2.0,0.0,1.0,0.0,0.0,15,3363,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,3,0,6,1,3,1,5,80,5,0,2,3,5,2,1652,2,3,3,1652,4,13173,108,0,300,102,10,9,2,325000,0,0,0,6,1652,3,404,425,0,3.0,0.0,1.0,0.0,1.0,3,3893,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2,3,0,6,1,3,1,5,1296,5,0,2,4,4,1,1752,2,2,3,1752,4,7658,61,0,412,82,10,9,2,319900,0,0,0,6,1752,3,196,49,0,3.0,0.0,1.0,0.0,0.0,5,5081,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,3,0,6,1,3,4,4,115,5,0,2,2,3,2,943,2,3,3,1638,2,9042,59,0,0,38,10,6,2,192000,0,695,0,7,943,3,100,996,0,3.5,0.0,1.0,0.0,0.0,10,2837,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,6,0,3,1,3,1,4,144,5,0,2,2,0,0,930,1,2,3,930,2,9520,68,0,115,0,10,4,2,99000,0,0,0,5,911,3,134,1508,0,1.0,0.0,1.0,1.0,0.0,55,2125,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
4,6,396,3,2,3,4,3,396,5,0,2,2,0,0,1728,2,1,3,1728,2,12640,55,0,0,0,10,6,2,150900,0,0,0,8,1728,3,40,2922,0,2.0,0.0,1.0,0.0,0.0,30,4294,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,6,374,3,2,3,1,3,340,5,0,2,2,0,0,894,1,2,3,894,2,7094,99,0,0,0,10,10,2,125000,0,0,0,5,894,3,0,2056,0,1.0,0.0,1.0,1.0,0.0,41,2508,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,7,0,1,1,3,3,5,846,5,0,2,2,0,0,846,2,2,3,1692,3,13159,83,0,0,114,10,7,2,224500,0,846,0,6,846,3,208,959,0,2.5,0.0,1.0,0.0,0.0,0,3713,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
3,4,692,2,5,3,1,3,0,5,0,2,2,0,0,926,2,1,3,1316,2,5500,50,390,0,0,7,10,2,130000,0,0,0,6,926,3,0,178,0,2.0,0.0,1.0,0.0,1.0,81,2938,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,3,0,6,1,3,1,5,482,5,0,2,3,4,1,1578,3,1,3,1578,3,13253,74,0,128,26,10,7,2,240000,0,0,0,7,1578,3,0,1114,0,3.0,0.0,1.0,0.0,0.0,2,3667,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2,2,0,4,1,3,1,3,506,4,0,2,2,0,0,875,1,1,2,875,2,6120,51,0,0,0,7,10,2,105000,0,0,0,5,715,3,48,744,0,2.0,0.0,1.0,0.0,1.0,78,2146,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
