,Bedroom_AbvGr,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Garage_Area,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,Kitchen_Qual,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Pool_Area,Screen_Porch,Second_Flr_SF,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,Has_Pool,Total_Bath,Has_garage,Has_Alley,Has_Basement,Has_Fireplace,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,House_Style_One_and_Half_Fin,House_Style_One_and_Half_Unf,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,House_Style_Two_and_Half_Fin,House_Style_Two_and_Half_Unf,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,Neighborhood_Blueste,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Green_Hills,Neighborhood_Greens,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Landmark,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northpark_Villa,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Neighborhood_Veenker,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,Sale_Condition_AdjLand,Sale_Condition_Alloca,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Partial,Street_Pave,anomaly
1,2,5,0,0,0,0,0,0,0,4,0,0,1,0,0,733,487,2,1,2,733,1,14584,80,0,0,0,10,1,0,0,0,0,0,4,0,3,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56,738,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1
183,6,5,0,0,0,0,0,0,0,5,0,2,2,0,0,862,0,0,0,0,2650,2,7200,60,0,0,0,6,4,2,0,0,1788,0,10,0,3,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,43,2655,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1
199,3,5,0,0,0,0,0,0,0,4,135,1,2,0,0,1600,270,1,1,2,1600,2,31250,125,0,0,0,3,1,0,0,0,0,0,6,0,3,0,0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,55,1605,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
247,4,7,0,1,1,3,2,3,1107,5,0,3,3,3,2,1518,840,3,1,5,3608,4,22950,90,572,0,260,9,10,2,0,410,1518,0,12,1107,3,0,0,2.5,1.0,0.0,1.0,1.0,1.0,1.0,114,6089,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
395,5,7,0,1,1,3,4,5,1528,5,0,2,4,5,1,1528,758,3,3,3,3390,4,18062,60,0,662,34,10,10,2,0,0,1862,0,10,1528,3,204,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0,6691,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1
497,6,6,0,3,1,2,1,3,570,5,0,1,2,0,0,936,0,0,0,0,1716,1,5687,55,0,0,184,6,10,0,0,0,780,0,9,780,3,0,0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,96,3256,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
532,3,6,469,3,4,3,1,3,977,5,0,2,2,4,1,1636,0,0,0,0,3086,4,18030,138,479,0,0,6,10,2,0,0,971,0,12,1598,3,122,0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,61,6258,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
646,3,3,0,6,1,3,4,5,466,5,0,2,4,4,3,4692,1418,2,3,3,5642,4,63887,313,0,796,292,10,10,2,480,0,950,0,12,6110,3,214,1,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0,12727,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-1
715,2,7,0,1,1,2,1,3,1020,2,105,1,1,0,0,1020,0,0,0,0,1020,1,4761,63,0,0,0,3,3,0,0,0,0,0,5,1020,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,88,3067,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
748,6,6,0,3,1,2,1,3,851,3,102,1,2,0,0,978,0,0,0,0,1864,2,5852,41,0,188,188,10,7,0,0,0,886,0,9,1020,3,0,0,2.5,0.0,0.0,1.0,0.0,0.0,1.0,107,3929,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
