Bedroom_AbvGr,Bldg_Type,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Foundation,Garage_Area,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,House_Style,Kitchen_Qual,Land_Contour,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Neighborhood,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Pool_Area,Roof_Style,Sale_Condition,Sale_Price,Screen_Porch,Second_Flr_SF,Street,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,id,Has_Pool,Total_Bath,Has_garage,Has_Alley,Has_Basement,Has_Fireplace,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning
3,OneFam,4,0,LwQ,Unf,Typical,No,Typical,236,SBrkr,0,Typical,Typical,No_Fireplace,0,1045,CBlock,528,2,Unf,Typical,1045,One_Story,Typical,Lvl,7400,74,0,0,North_Ames,0,Above_Average,Good,Paved,0,Gable,Normal,120000,0,0,Pave,0,6,1045,AllPub,0,2633,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,44,2330,0,1,0,1,0,1,0,0,0
2,OneFam,5,0,No_Basement,No_Basement,No_Basement,No_Basement,No_Basement,0,FuseA,0,Poor,Fair,No_Fireplace,0,733,Slab,487,2,Unf,Fair,733,One_Story,Fair,Low,14584,80,0,0,Iowa_DOT_and_Rail_Road,0,Average,Very_Poor,Dirt_Gravel,0,Gable,Abnorml,13100,0,0,Pave,0,4,0,AllPub,0,1554,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56,738,0,0,0,1,0,0,0,0,1
3,OneFam,3,0,GLQ,Unf,Typical,No,Good,76,SBrkr,0,Typical,Good,Typical,1,1061,PConc,564,2,RFn,Typical,1923,Two_Story,Good,Lvl,10186,107,0,0,Northridge,39,Average,Good,Paved,0,Gable,Normal,190000,0,862,Pave,0,8,750,AllPub,240,91,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,18,3031,0,0,0,0,1,1,0,0,0
2,OneFam,3,0,GLQ,Unf,Typical,Gd,Excellent,225,SBrkr,0,Typical,Good,Good,1,1792,PConc,874,3,Fin,Typical,1792,One_Story,Excellent,HLS,11846,72,0,562,Northridge_Heights,49,Average,Excellent,Paved,0,Hip,Normal,374000,0,0,Pave,0,6,1792,AllPub,206,2400,0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3,4067,0,0,0,0,1,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,No,Good,426,SBrkr,0,Typical,Good,Typical,1,1426,PConc,746,3,RFn,Typical,1914,Two_Story,Good,Lvl,13215,0,0,112,Northridge_Heights,127,Average,Very_Good,Paved,0,Gable,Normal,279000,0,488,Pave,0,9,1420,AllPub,168,2403,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,2,4058,0,0,0,0,1,1,0,0,0
2,OneFam,1,0,ALQ,Unf,Typical,Av,Typical,135,SBrkr,0,Typical,Typical,Typical,1,926,CBlock,351,1,Unf,Typical,926,SFoyer,Typical,Lvl,9750,75,0,0,Mitchell,0,Above_Average,Above_Average,Paved,0,Gable,Normal,156450,0,0,Pave,0,5,902,AllPub,319,951,0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,32,2283,0,0,0,1,0,1,0,0,0
2,OneFam,7,0,Unf,Unf,Typical,No,Typical,484,SBrkr,0,Typical,Typical,No_Fireplace,0,1242,CBlock,336,1,Unf,Typical,1242,One_Story,Typical,Lvl,17808,84,0,0,Edwards,0,Average,Below_Average,Dirt_Gravel,0,Gable,Normal,109900,0,0,Pave,0,4,484,AllPub,0,2077,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,61,2217,0,1,0,1,0,1,0,0,0
3,OneFam,2,0,BLQ,Unf,Typical,Mn,Good,762,SBrkr,0,Typical,Typical,No_Fireplace,0,974,PConc,0,0,No_Garage,No_Garage,974,One_Story,Typical,Lvl,10712,63,0,0,Mitchell,28,Average,Average,Paved,0,Gable,Abnorml,93500,0,0,Pave,0,5,974,AllPub,0,2304,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,16,2740,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Typical,676,SBrkr,0,Typical,Typical,No_Fireplace,0,676,CBlock,200,1,Unf,Typical,1131,One_and_Half_Fin,Typical,Lvl,5720,52,0,0,Old_Town,0,Above_Average,Average,Paved,0,Gable,Abnorml,66500,0,455,Pave,0,5,676,AllPub,26,696,0,1.5,1.0,0.0,1.0,0.0,0.0,1.0,68,2516,0,1,0,1,0,1,0,0,0
2,TwnhsE,3,0,GLQ,Unf,Typical,No,Good,899,SBrkr,0,Typical,Good,No_Fireplace,0,1199,PConc,530,2,RFn,Typical,1199,One_Story,Good,Lvl,7892,55,0,0,Sawyer_West,63,Average,Above_Average,Paved,0,Gable,Normal,153900,0,0,Pave,0,5,1199,AllPub,0,1149,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,15,3363,0,0,0,1,0,1,0,0,0
2,OneFam,3,0,GLQ,Unf,Typical,No,Excellent,80,SBrkr,0,Typical,Good,Excellent,2,1652,PConc,840,2,Fin,Typical,1652,One_Story,Excellent,Lvl,13173,108,0,300,Northridge_Heights,102,Average,Excellent,Paved,0,Hip,Normal,325000,0,0,Pave,0,6,1652,AllPub,404,425,0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3,3893,0,0,0,0,1,1,0,0,0
2,TwnhsE,3,0,GLQ,Unf,Typical,No,Excellent,1296,SBrkr,0,Typical,Excellent,Good,1,1752,PConc,576,2,RFn,Typical,1752,One_Story,Excellent,Lvl,7658,61,0,412,Northridge_Heights,82,Average,Excellent,Paved,0,Hip,Normal,319900,0,0,Pave,0,6,1752,AllPub,196,49,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,5,5081,0,0,0,1,0,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,Gd,Good,115,SBrkr,0,Typical,Typical,Typical,2,943,PConc,472,2,Fin,Typical,1638,Two_Story,Typical,Lvl,9042,59,0,0,Gilbert,38,Average,Above_Average,Paved,0,Gable,Normal,192000,0,695,Pave,0,7,943,AllPub,100,996,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,10,2837,0,0,0,0,1,1,0,0,0
2,OneFam,6,0,Rec,Unf,Typical,No,Good,144,SBrkr,0,Typical,Typical,No_Fireplace,0,930,CBlock,286,1,RFn,Typical,930,One_Story,Typical,Bnk,9520,68,0,115,Edwards,0,Average,Below_Average,Paved,0,Gable,Normal,99000,0,0,Pave,0,5,911,AllPub,134,1508,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,55,2125,0,0,0,1,0,1,0,0,0
4,Duplex,6,396,Rec,LwQ,Typical,Gd,Typical,396,SBrkr,0,Typical,Typical,No_Fireplace,0,1728,CBlock,574,2,Unf,Typical,1728,One_Story,Typical,Lvl,12640,55,0,0,Mitchell,0,Average,Above_Average,Paved,0,Gable,Normal,150900,0,0,Pave,0,8,1728,AllPub,40,2922,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,30,4294,0,0,0,0,1,1,0,0,0
3,OneFam,6,374,Rec,LwQ,Typical,No,Typical,340,SBrkr,0,Typical,Typical,No_Fireplace,0,894,CBlock,384,1,RFn,Typical,894,One_Story,Typical,Lvl,7094,99,0,0,Sawyer,0,Average,Average,Paved,0,Gable,Normal,125000,0,0,Pave,0,5,894,AllPub,0,2056,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,41,2508,0,0,0,0,1,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,Av,Excellent,846,SBrkr,0,Typical,Typical,No_Fireplace,0,846,PConc,650,2,RFn,Typical,1692,Two_Story,Good,HLS,13159,83,0,0,Timberland,114,Average,Good,Paved,0,Gable,Partial,224500,0,846,Pave,0,6,846,AllPub,208,959,0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0,3713,0,0,0,0,1,1,0,0,0
3,OneFam,4,692,LwQ,ALQ,Typical,No,Typical,0,SBrkr,0,Typical,Typical,No_Fireplace,0,926,BrkTil,484,2,Unf,Typical,1316,One_and_Half_Fin,Typical,Lvl,5500,50,390,0,Old_Town,0,Good,Average,Paved,0,Gable,Normal,130000,0,0,Pave,0,6,926,AllPub,0,178,0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,81,2938,0,0,0,1,0,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,No,Excellent,482,SBrkr,0,Typical,Good,Good,1,1578,PConc,642,3,Unf,Typical,1578,One_Story,Good,Lvl,13253,74,0,128,Somerset,26,Average,Good,Paved,0,Gable,Normal,240000,0,0,Pave,0,7,1578,AllPub,0,1114,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2,3667,0,0,1,0,1,1,0,0,0
2,OneFam,2,0,BLQ,Unf,Typical,No,Typical,506,FuseA,0,Typical,Typical,No_Fireplace,0,875,BrkTil,180,1,Unf,Fair,875,One_Story,Typical,Lvl,6120,51,0,0,Brookside,0,Good,Average,Paved,0,Gable,Normal,105000,0,0,Pave,0,5,715,AllPub,48,744,0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,78,2146,0,0,0,1,0,1,0,0,0
3,OneFam,1,0,ALQ,Unf,Typical,No,Typical,190,SBrkr,0,Typical,Typical,Good,1,1126,CBlock,484,2,RFn,Typical,1126,One_Story,Typical,Low,17400,80,0,0,Mitchell,41,Average,Average,Partial_Pavement,0,Gable,Normal,160000,0,0,Pave,0,5,1126,AllPub,295,2924,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,29,2779,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Good,741,SBrkr,0,Typical,Good,Typical,1,977,CBlock,476,2,Fin,Typical,1732,Two_Story,Good,Lvl,9206,77,0,336,Sawyer_West,46,Average,Above_Average,Paved,0,Gable,Normal,178000,0,755,Pave,0,7,741,AllPub,192,245,0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,25,3459,0,0,0,1,0,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,Av,Good,309,SBrkr,0,Typical,Good,Typical,1,1299,PConc,531,2,RFn,Typical,1872,Two_Story,Excellent,Lvl,11885,0,0,108,College_Creek,122,Average,Very_Good,Paved,0,Gable,Normal,261500,0,573,Pave,0,7,1299,AllPub,160,866,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,8,3765,0,0,0,1,0,1,0,0,0
3,OneFam,3,0,GLQ,Unf,Typical,Gd,Good,96,SBrkr,0,Typical,Typical,Typical,1,1356,PConc,528,2,Fin,Typical,1356,SLvl,Typical,Low,15957,0,0,0,Mitchell,0,Above_Average,Above_Average,Paved,0,Gable,Normal,188000,0,0,Pave,0,6,1244,AllPub,1424,2294,0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4123,0,0,0,0,1,1,0,0,0
2,Duplex,3,0,GLQ,Unf,Typical,Av,Good,0,SBrkr,0,Typical,Typical,Typical,2,1224,CBlock,528,2,Unf,Typical,1224,SFoyer,Typical,Bnk,7018,64,0,275,Sawyer_West,0,Average,Average,Paved,0,Gable,Alloca,153337,0,0,Pave,0,6,1086,AllPub,120,809,0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,30,2433,0,1,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Good,847,SBrkr,0,Typical,Good,Good,1,847,PConc,433,2,Fin,Typical,1733,Two_Story,Good,Lvl,8577,63,0,0,Gilbert,48,Average,Good,Paved,0,Gable,Normal,185088,0,886,Pave,0,7,847,AllPub,144,57,0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,6,3626,0,0,0,0,1,1,0,0,0
4,OneFam,7,0,Unf,Unf,Typical,No,Typical,1200,FuseA,228,Typical,Typical,No_Fireplace,0,1200,BrkTil,312,1,Unf,Fair,1200,One_Story,Typical,Lvl,11340,84,0,0,Old_Town,0,Average,Above_Average,Paved,0,Gable,Family,125000,0,0,Pave,0,7,1200,AllPub,0,2666,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,83,3607,0,0,0,1,0,1,0,0,0
3,OneFam,7,0,Unf,Unf,Typical,No,Typical,884,SBrkr,208,Typical,Typical,Fair,1,884,BrkTil,216,1,Unf,Typical,1348,One_and_Half_Fin,Typical,Lvl,6000,50,0,0,Brookside,0,Very_Good,Average,Dirt_Gravel,0,Gable,Normal,117000,0,464,Pave,0,5,884,AllPub,0,736,0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,84,3123,0,0,0,1,0,1,0,0,0
